ID,Name_Default,Name_Restored,Name_Reforged,Category,Real_Value,Visual_Value,Uncertainty,Init_State_Tags,Attr_Tags,Hidden_Traits,Know_Cap,Desc_Default,Desc_Restored,Desc_Reforged,Name_Counterfeit,Desc_Counterfeit,Fit_Tags,Filler_Pool
_default,未命名物品,修复后的物品,重铸后的物品,杂项,100,100,0.3,,,, 60,一件普通的物品。,经过修复的物品。,经过重铸的物品。,伪造后的物品,经过伪造处理的物品。,,false
item_watch_01,停摆的旧表,精工润滑的怀表,珐琅彩绘怀表,钟表,500,500,0.3,BROKEN,MECHANICAL;VINTAGE_REAL,trait_engraving,100,一块老式怀表，指针停在三点整，表壳上有岁月的痕迹。,机芯经过精心养护，指针走时精准，黄铜表壳散发出温润的光泽。,表壳经过艺术珐琅彩绘装饰，机芯加装了月相功能，兼具实用与观赏价值。,维多利亚时期金表,表壳内侧隐约可见皇室徽记，这是一块有故事的古董。,elderly;middle;SENTIMENTAL,true
item_ring_01,蒙尘的戒指,抛光银戒,宝石镶嵌银戒,首饰,300,350,0.25,DIRTY,GOLD;SENTIMENTAL,trait_inscription,80,一枚银质戒指，表面蒙着灰尘，但能感受到它的分量。,戒指经过抛光，银面如镜，内圈刻着的字迹清晰可见。,戒面重新镶嵌了一颗切割精良的半宝石，银面经过拉丝工艺处理，质感大幅提升。,名门传家宝,据考证这是某个名门望族的传家之物，有着百年历史。,elderly;female;SENTIMENTAL,true
item_painting_01,褪色的油画,修复的风景画,重新装帧的艺术画,艺术品,800,600,0.4,DIRTY;RUSTED,ARTISTIC;VINTAGE_REAL,trait_signature;trait_hidden_layer,150,画框斑驳，画面颜色已经褪去大半，但构图依然优美。,清洗修复后，画面重现昔日风采，笔触细腻，意境深远。,更换为手工雕花实木画框，配以博物馆级无反射玻璃，画面呈现效果焕然一新。,失落大师真迹,经专家鉴定，这是一幅失传已久的大师早期作品。,elderly;middle;decent;fancy,true
item_vase_01,裂纹花瓶,修补古瓷,金缮艺术花瓶,古董,1200,1000,0.35,BROKEN,ARTISTIC;VINTAGE_REAL,trait_kiln_mark,120,青花瓷瓶身有一道细微的裂纹，但釉色依然温润。,裂纹经金缮工艺修补，反而增添了一份残缺之美。,以纯金金缮工艺将裂纹转化为装饰纹路，配以定制红木底座，残缺之美升华为艺术品。,官窑珍品,底款证实这是清代官窑出品，存世极少。,elderly;decent;fancy,true
item_book_01,虫蛀旧书,精装古籍,影印批注珍藏版,书籍,200,180,0.2,BROKEN;DIRTY,VINTAGE_REAL;SENTIMENTAL,trait_margin_notes,60,书页发黄，边角有虫蛀痕迹，但字迹依然清晰。,经过脱酸处理和重新装订，这本古籍重获新生。,重新制作精装函套，附加批注索引和解读小册，提升为研究级珍藏版本。,孤本善本,经考证，这是某部典籍的唯一存世版本。,elderly;middle,true
item_watch_gambler,金标手表,保养后的金表,定制表盘金表,钟表,400,450,0.3,DIRTY,MECHANICAL;GOLD,trait_water_damage,80,表面有划痕，表带有些松动，但分量很足。机芯声音浑浊，可能是进过水。,经过专业保养，机芯恢复清脆，表壳重新抛光。,更换为手工雕刻表盘，搭配鳄鱼皮表带，整体质感大幅提升。,名牌限量款,经鉴定为某奢侈品牌早期限量款，极具收藏价值。,middle;fancy;male,true
item_console_student,便携游戏机,翻新游戏机,改装增强版,电子产品,1000,1200,0.2,,MECHANICAL;TRENDY,,60,屏幕贴膜完好，按键回弹清脆。系统已被重置，账号已登出。,经过深度清洁和系统优化，性能如新。,加装高清屏幕模组和定制外壳，手感和画面表现均大幅升级。,珍藏限定版,这是某款游戏的联名限定版，全球限量发售。,young;plain;shabby,true
item_diamond_mystery,裸钻,净度提升钻石,精切八心八箭钻,珠宝,3000,2500,0.4,,GOLD;ARTISTIC,trait_serial_scratched,120,一颗约1克拉的裸钻，切工精湛。腰码被刻意磨损了。,经过重新切割，净度和火彩都有所提升。,由资深切割师重新精切为完美八心八箭，火彩和闪耀度达到顶级水准。,传奇名钻,据说这颗钻石曾属于某位传奇人物，有着神秘的过往。,fancy;decent,true
emma_item_clothes,名牌职业套装,干洗职业套装,改良剪裁套装,服饰,1200,1200,0.25,,TRENDY;SENTIMENTAL,trait_emma_dryclean;trait_emma_inkstain,80,当季新款的高定职业套装，用料考究。,经过专业干洗和熨烫，衣服焕然一新。,由裁缝重新修改版型和细节，加入手工盘扣和内衬升级，更加合体精致。,设计师定制款,经鉴定为某设计师早期定制款，极具收藏价值。,,false
emma_item_skincare,贵妇面霜礼盒,保鲜护肤套装,精装礼盒套装,奢侈品,600,600,0.3,,TRENDY,trait_emma_expiry;trait_emma_spoon,60,一套未拆封的高级护肤品，包装精美。,经过重新密封保存，品质依旧。,重新包装为豪华礼盒版，配以丝绒内衬和手写贺卡，送礼档次大幅提升。,限量珍藏版,这是某品牌已停产的限量版，市面难寻。,,false
emma_item_laptop,轻薄笔记本,翻新笔记本,高配升级笔记本,电子产品,1500,1500,0.2,,MECHANICAL;SENTIMENTAL,trait_emma_portfolio;trait_emma_battery,100,贴满贴纸的旧款笔记本，键盘磨损严重。,经过硬件升级和系统重装，性能大幅提升。,加装固态硬盘和扩展内存，外壳定制喷涂，性能与外观均焕然一新。,珍藏版笔记本,这是某品牌纪念款笔记本，限量发售。,,false
emma_item_watch,男士机械表,保养机械表,镂空雕花机械表,钟表,800,800,0.3,BROKEN,MECHANICAL;VINTAGE_REAL,trait_emma_engrave,80,一块看起来有些年头的男表，表带断了一半。,经过专业保养，机芯恢复正常，表带更换一新。,表盘改为镂空设计，可欣赏机芯运作之美，搭配手工缝制皮表带。,古董名表,经鉴定为某瑞士品牌早期款，极具收藏价值。,,false
zhao_item_medal,一等功勋章,修复勋章,镶框陈列勋章,古玩,8000,8000,0.3,,VINTAGE_REAL;SENTIMENTAL,trait_zhao_ribbon;trait_zhao_name;trait_zhao_rare,150,一枚沉甸甸的军功章，珐琅面有裂纹。,经过专业修复，珐琅面恢复光泽。,配以定制展示框和背景绒布，附手写说明卡片，适合博物馆级陈列。,稀世军功章,经伪造出处文件，将其包装为某著名战役中授予的极早期批次，存世仅个位数。,,false
zhao_item_cert,立功证书与合影,修复证书,装帧陈列档案,古玩,2000,2000,0.2,,VINTAGE_REAL;SENTIMENTAL,trait_zhao_list,100,一套完整的纸质文件，证书边缘手写着密密麻麻的名单。,经过脱酸处理和专业装裱，文件保存完好。,以博物馆级装帧方式制作展示册，配以无酸衬纸和防紫外线封面，适合永久保存。,珍贵历史档案,经伪造背书文件，将其包装为涉及重大历史事件的机密档案，具有极高的文献价值。,,false
lin_item_watch,古董机械表,保养古董表,精修鉴证古董表,钟表,150000,300,0.5,DIRTY,MECHANICAL;VINTAGE_REAL,trait_lin_rare;trait_lin_scratch,200,表盘泛黄，看起来像地摊货。,经过专业保养，机芯恢复精准。,经专业制表师全面精修，配以原厂规格表带和鉴证书，性能与品相均达收藏级。,传奇名表,伪造鉴定证书和来源档案，将其包装为劳力士"保罗纽曼"迪通拿，传奇名表，价值连城。,,false
susan_item_bag,鳄鱼皮铂金包,清洁铂金包,,奢侈品,200,80000,0.4,,TRENDY;ARTISTIC,trait_susan_stitch;trait_susan_glue,80,色泽光亮，五金件闪耀。,经过专业清洁和保养，皮质恢复光泽。,,限量铂金包,做旧处理五金件并伪造序列号，将高仿A货包装为正品限量款。,,false
item_violin_01,蒙尘的小提琴,调音修复的提琴,手工镶嵌装饰琴,乐器,800,600,0.35,DIRTY;BROKEN,ARTISTIC;VINTAGE_REAL,trait_luthier_label,120,琴身布满灰尘，琴弦断了两根，但木纹细腻。,更换新弦后音色温润，共鸣腔保养完好。,琴头雕刻精修，弦轴更换为黄杨木手工件，尾枕镶嵌贝母装饰，音色与外观兼具。,名家演奏琴,琴身内伪造了某意大利制琴师的手写标签，冒充名家手作。,elderly;middle;decent,true
item_guitar_01,旧木吉他,调整后的民谣吉他,镶嵌贝壳装饰吉他,乐器,500,400,0.3,DIRTY,ARTISTIC;SENTIMENTAL,trait_autograph,100,品丝有磨损痕迹，琴身有几处划痕，但音色依然清亮。,调整琴颈弧度后手感极佳，音色圆润。,指板镶嵌贝壳图案，琴身打磨上漆，品丝全部更换为不锈钢材质，手感与音色俱佳。,传奇歌手遗物,琴身内伪造了某著名民谣歌手的签名，冒充名人遗物。,young;middle;plain,true
item_camera_01,老旧胶片相机,清洁保养的相机,改装测光相机,相机,600,450,0.4,DIRTY,MECHANICAL;VINTAGE_REAL,trait_serial_plate,100,镜头有轻微霉斑，快门声音沙哑。,镜头清洗后通透，快门修复后清脆利落。,加装外置测光表和手柄，快门帘更换为钛合金材质，实用性大幅提升。,徕卡珍藏版,伪造序列号铭牌，将其包装为徕卡早期限量版，极具收藏价值。,elderly;middle;decent,true
item_camera_02,双反相机,翻新双反相机,皮饰翻新双反,相机,400,350,0.25,DIRTY;BROKEN,MECHANICAL;VINTAGE_REAL,,80,取景器模糊，皮革蒙皮开裂。,蒙皮更换后手感极佳，光路重新校准。,更换为手工鸵鸟皮蒙皮，加装遮光罩和快装板，外观独特且实用性增强。,海鸥经典款,伪造铭牌和出厂编号，将其包装为早期国产相机精品，品相罕见。,elderly;SENTIMENTAL,true
item_stamp_01,一册旧邮票,整理后的邮册,精装鉴赏邮册,收藏品,300,200,0.45,DIRTY,VINTAGE_REAL;SENTIMENTAL,trait_printing_error,80,邮册发黄，部分邮票有折痕。,经过重新整理装帧，邮票保存完好。,以集邮鉴赏级标准重新装帧，配以放大镜和详细解说卡，提升为专业收藏册。,珍稀错版票,伪造印刷瑕疵，将其中一枚普通邮票做成著名的错版票，存世极少。,elderly,true
item_coin_01,旧铜钱一串,清理后的古钱,装裱鉴赏古泉,收藏品,400,250,0.5,DIRTY,VINTAGE_REAL,trait_mold_coin,100,铜绿斑驳，部分字迹模糊。,清理后包浆自然，字口清晰。,精选品相最佳者装裱于锦盒中，配以拓片和鉴定标签，提升为鉴赏级藏品。,宋代铁母,伪造包浆和字口特征，将其中一枚普通铜钱做成铸钱用的铁母，冒充高价值品。,elderly;middle,true
item_figure_01,旧手办,修复的限定手办,重涂艺术版手办,收藏品,200,180,0.2,DIRTY;BROKEN,TRENDY,trait_numbered,60,关节松动，涂装有掉漆。,经过重新上色和关节修复，品相如新。,由模型师手工重新上色，采用渐变喷涂和旧化工艺，效果远超量产版。,绝版限定品,伪造编号标签和包装盒，将其包装为某动漫周边首发限定版，早已绝版。,young;plain,true
