id,templateId,name,description,avatarSeed,patience,mood,redemptionResolve,desiredAmount,minimumAmount,survivalMinimum,maxRepayment,historySnippet,archiveSummary,isStolen,sentimentalValue,greeting,pawnReason,redemptionPlea,negotiationDynamic,accepted_fair,accepted_fleeced,accepted_premium,rejected,rejection_standard,rejection_angry,exit_grateful,exit_neutral,exit_resentful,exit_desperate,behaviorTags,identityTags
zhang,item_watch_gambler,老张,"满脸通红，浑身酒气的中年男人。",drunk_zhang,2,Annoyed,Weak,500,300,210,600,"这是我赢来的... 以前。","老张为了赌资典当的手表。",false,false,"老板... 嗝！这表... 跟了我十年了。","今晚的手气太差了，就差一把... 就一把我就能翻本！","明天... 明天我就来赎！我发誓！","别磨叽了，快点给钱！","行！算你爽快！","切... 趁火打劫是吧？拿来！","老板你真是活菩萨！","不识货！我去隔壁！","走了。","晦气！","这就对了！等我发财了请你喝酒！","走了。回见。","什么破地方... 也就是老子今天手气背。","唉... 这一把一定要赢啊...",DESPERATE,"HighRisk,Gambler"
chen,item_console_student,陈学生,"背着书包，眼神躲闪的大学生。",student_chen,4,Neutral,Strong,1200,800,560,1500,"为了买它我吃了两个月泡面。","学生的生活费周转。",false,true,"你好... 请问这里收电子产品吗？","生活费花超了... 不想让家里人知道。","下个月兼职工资发了我就来赎，千万别卖了。","这可是上个月刚买的最新款...","谢谢老板！救急了。","啊... 这么少？好吧...","太感谢了！","打扰了...","那我再去想想办法。","...","谢谢老板！您真是帮了大忙了！","谢谢老板。再见。","这也太黑了... 不过没办法...","这下完了... 真的完了...",SAVVY,Student
mystery,item_diamond_mystery,神秘客,"戴着墨镜和口罩，看不清面容。",mystery_guy,1,Neutral,None,2000,1000,700,0,"路上... 捡的。","来源不明的钻石。",true,false,"收东西吗？不问来源那种。","急需现金，懂的都懂。","这东西我不赎了，直接死当。","别废话，一口价。","成交。","行吧，算我倒霉。","爽快。","你会后悔的。","...","...","合作愉快。嘴巴严实点。","两清了。","啧。算你运气好。","...",STUBBORN,Suspicious
wang,item_necklace_01,王阿姨,"眼圈发红的中年妇女，衣着朴素但整洁，手里紧攥着一个首饰盒。",wang_aunt,5,Annoyed,Strong,400,250,175,500,"结婚二十周年他送我的。","王阿姨为丈夫的医药费典当项链。",false,true,"老板，麻烦你帮我看看这条项链能当多少钱。","我家老头子住院了，医药费还差一截... 这条链子是他当年送我的。","求你了老板，那条链子我一定要赎回来，那是我们结婚纪念。","你看看成色，这可是实打实的银子，坠子上还有宝石呢。","谢谢老板，救命的钱。","唉... 行吧，有总比没有好。","老板你心善，好人有好报。","这么点？... 算了再看看别家。","好的，谢谢。","嗨！","谢谢老板！等老头子出院了请你吃饭！","多谢了，老板。","这也太少了... 他还在医院等着呢...","老天爷... 这可怎么办...",DESPERATE,"FamilyCare,Medical"
liu,item_sportswatch_01,刘老板,"穿着起球的西装，领带歪斜，发际线很高的中年男人。",liu_boss,6,Neutral,Medium,600,400,280,750,"谈生意时从不离手的表。","刘老板生意周转典当手表。",false,false,"老板好，看看这块表。","周转困难，等货款一到马上来赎。","货款这两天就打过来了，表一定赎，丢不起这个面子。","这表牌子你应该认识，我当初花了不少钱呢。","行，痛快。","嗯... 形势比人强，认了。","够意思！以后有好东西先想着你。","不急，让我再想想。","回头再说吧。","哦。","老板爽快！改天约酒！","好的，回见。","生意人嘛，你这有点不够意思。","完了... 货款要是再不来...",SAVVY,BusinessOwner
zhao_f,item_bracelet_01,赵姐,"化着精致妆容但遮不住疲惫的年轻女人，左手无名指有一道浅浅的戒痕。",zhao_fei,4,Annoyed,Weak,550,350,245,400,"他妈逼我退回去的聘礼之一。","赵姐离婚后急需现金典当手镯。",false,false,"老板，帮我估个价。","离了，这些东西留着也是添堵，不如换成钱重新开始。","如果方便的话帮我留两天，万一我改主意了呢。","翡翠镯子你应该懂行，水头自己看。","成交，拿去吧。","... 随便吧，反正都是不要的东西。","谢谢。","少了，我考虑一下。","那就这样。","什么意思？","谢了老板，后会有期。","再见。","呵，又被人占便宜了。","管他呢... 反正这日子已经够烂了...",STUBBORN,Divorced
sun,item_stamp_01,孙大爷,"穿着洗得发白的中山装的老人，手里捧着一本厚厚的集邮册，走路有些蹒跚。",sun_lao,7,Happy,Medium,250,150,105,300,"集了一辈子的邮票，每一张都有故事。","孙大爷用邮票收藏换养老钱。",false,true,"小伙子，你们这儿收邮票吗？","退休金有点不够花了... 这些邮票跟了我大半辈子了。","小伙子，那本邮册你帮我好好放着，下个月退休金到了我就来赎。","你别看这些旧，里头有几张可不常见，我当年费了好大劲才集齐的。","行，那就拜托你了。","哎呀... 这么少啊？好吧好吧。","哎呀太好了！年轻人靠得住！","算了算了，不当了。","那行吧。","唉...","谢谢小伙子，你人不错！","好的好的，再见啊。","年轻人啊... 做生意也得讲良心呐。","这以后可怎么办哟...",SENTIMENTAL,"Retired,Collector"
zhou,item_phone_01,小周,"戴着棒球帽压低帽檐的年轻人，手指不停地摆弄手机壳，腿一直在抖。",zhou_young,3,Annoyed,Weak,500,300,210,350,"分期买的，还没还完。","小周网贷还债急需现金。",false,false,"老板，手机收不收？急出。","网上借了点钱... 利滚利现在催得紧，先把手机当了应应急。","老板，那手机你先帮我留着行不行？我想办法凑钱来赎。","才用了几个月，屏幕基本没划痕，你看看。","行行行，快给钱吧。","也行吧... 先拿着。","太感谢了老板！","不当了不当了。","那算了。","不当了！","谢谢老板！真的谢谢！","嗯，再见。","这也太少了吧... 算了先拿着。","催款电话又来了... 怎么办啊...",DESPERATE,"HighRisk,Debtor"
he,item_camera_01,何先生,"穿着干净的polo衫，语气平和的中年男人，提着一个防潮箱。",he_xian,6,Neutral,None,500,350,245,0,"陪我走过大半个中国的老伙计。","何先生移民前变卖相机。",false,true,"你好，请问老相机你们收吗？","准备出国定居了，东西带不走，想找个识货的地方处理。","不用了，这东西就放你这吧，带不走的。","这台相机虽然有年头了，但保养一直不错，你试试快门。","好，多谢。","唉，没办法，走之前能处理一件是一件。","谢谢老板，东西交给你我放心。","不急，我再比较一下。","那就这样吧。","好的。","谢谢，东西交给识货的人了。","好的，再见。","有些可惜... 不过也无所谓了。","东西都处理不掉... 这趟走得不踏实。",NAIVE,"Emigrant,Collector"
ma,item_snuffbottle_01,马女士,"戴着玳瑁眼镜、挎着帆布包的中年女人，进门就四处打量店里的陈设。",ma_nvshi,5,Happy,Medium,800,500,350,1000,"古玩市场淘来的宝贝，越看越喜欢。","马女士的鼻烟壶收藏。",false,true,"老板你这店里东西挺杂的嘛，我看看。","手头紧了，先当一件腾点资金，看到好东西还得收。","帮我留好了啊老板，过段时间我一定来赎，这东西我还没玩够呢。","你是行家应该看得出来，这壶的内画工细着呢。","嗯，可以。","这价格有点低了啊... 罢了罢了。","老板眼力不错，以后多交流！","先不急，我再考虑考虑。","那行吧。","嗯。","哎老板你这人实在！改天带朋友来你这逛逛！","好嘞，回头见。","做生意嘛... 下次我可要货比三家了。","唉... 玩收藏果然费钱...",SAVVY,"Collector,Hobbyist"
