type,category,text
appearance,shabby,穿着破旧
appearance,shabby,衣服有些邋遢
appearance,shabby,明显经济拮据
appearance,shabby,穿着寒酸
appearance,plain,穿着朴素
appearance,plain,衣着普通
appearance,plain,相貌平平
appearance,plain,打扮普通
appearance,decent,穿着体面
appearance,decent,衣着整洁
appearance,decent,看起来不错
appearance,decent,打扮得体
appearance,fancy,穿着讲究
appearance,fancy,打扮精致
appearance,fancy,衣着光鲜
appearance,fancy,看起来有钱
mood,anxious,神情焦虑
mood,anxious,满头是汗
mood,anxious,坐立不安
mood,anxious,眼神慌张
mood,calm,神态自若
mood,calm,面色平静
mood,calm,不慌不忙
mood,calm,气定神闲
mood,reluctant,一脸不舍
mood,reluctant,眼含泪光
mood,reluctant,欲言又止
mood,reluctant,神情惆怅
mood,eager,急不可耐
mood,eager,迫不及待
mood,eager,跃跃欲试
mood,eager,神情急切
