key,text
STRONG:APPRAISAL,"对方明显一愣，目光中多了几分敬意。"
STRONG:APPRAISAL,"你果然名不虚传......"
STRONG:APPRAISAL,"对方不自觉地点了点头，像是被说服了。"
STRONG:APPRAISAL,"看得出来，对方对你的判断深信不疑。"
STRONG:NEGOTIATION,"对方的手微微发抖，显然感受到了压力。"
STRONG:NEGOTIATION,"对方咽了口唾沫，额头渗出细汗。"
STRONG:NEGOTIATION,"对方的眼神开始游移，底气明显不足了。"
STRONG:NEGOTIATION,"你话音未落，对方的姿态已经软了下来。"
STRONG:DEPARTURE,"对方眼眶微红，深深鞠了一躬。"
STRONG:DEPARTURE,"对方握着你的手迟迟不肯松开。"
STRONG:DEPARTURE,"走到门口又回头看了你一眼，嘴唇翕动着说不出话。"
STRONG:DEPARTURE,"对方低声说了句""谢谢""，声音有些哽咽。"
NORMAL:APPRAISAL,"嗯，你说的有道理。"
NORMAL:APPRAISAL,"对方若有所思地看了看物件。"
NORMAL:APPRAISAL,"对方没有反驳，似乎认可了你的说法。"
NORMAL:NEGOTIATION,"对方犹豫了一下，在心里盘算着。"
NORMAL:NEGOTIATION,"对方皱了皱眉，但没有立刻拒绝。"
NORMAL:NEGOTIATION,"对方沉默片刻，似乎在权衡利弊。"
NORMAL:DEPARTURE,"谢谢你，再见。"
NORMAL:DEPARTURE,"对方礼貌地点了点头，转身离开。"
NORMAL:DEPARTURE,"对方拿好东西，朝你挥了挥手。"
WEAK:APPRAISAL,"你确定？我可听说过一些关于你的事......"
WEAK:APPRAISAL,"对方用怀疑的眼神打量着你。"
WEAK:APPRAISAL,"哼，我凭什么信你的鉴定？"
WEAK:APPRAISAL,"对方不以为然地撇了撇嘴。"
WEAK:NEGOTIATION,"你那一套对我没用。"
WEAK:NEGOTIATION,"对方双臂交叉，冷冷地看着你。"
WEAK:NEGOTIATION,"对方面无表情，丝毫不为所动。"
WEAK:NEGOTIATION,"少来这套，我又不是没打听过你。"
WEAK:DEPARTURE,"哼，不必了。"
WEAK:DEPARTURE,"对方头也不回地走了出去。"
WEAK:DEPARTURE,"对方面无表情地收好东西，径直离开。"
WEAK:DEPARTURE,"对方冷淡地点了下头，快步走向门口。"
