key,text,mailSubject,mailSender
1:MONOLOGUE,"关了灯准备睡觉，但脑子停不下来。今天那笔生意......我做得对吗？翻了个身，把这个念头按下去。明天还有账要算。",,
1:MONOLOGUE,"洗手的时候愣了一下。不知道为什么，总觉得指缝间还留着什么东西的触感。大概是今天摸的货太多了吧。",,
1:MONOLOGUE,"夜里醒了一次，想起小时候妈常说的一句话：""人在做，天在看。""翻了个身，告诉自己只是做梦。但后半夜没再睡着。",,
1:MONOLOGUE,"收拾柜台的时候发现自己在发呆。盯着玻璃柜里的倒影看了好一会儿——那个人有点陌生。摇摇头，继续擦桌子。",,
1:MONOLOGUE,"今晚的茶泡浓了，苦得发涩。以前嫌淡，现在好像只有苦味才能让自己觉得还在正常地过日子。什么时候开始变成这样的？",,
2:MAIL,"掌柜的，我在你这当了好些年东西了。最近有人在茶馆里聊起你的铺子，说的话不太好听。我知道生意难做，但有些路，走远了就回不来了。这封信看完就烧了吧。","一点小建议","一位老客户"
2:MAIL,"你大概不认识我，但我认识你。街角杂货铺的老陈跟我说，最近有人在打听你铺子里进出的货。不是什么好事。信不信由你。","（无标题）","匿名"
2:MAIL,"掌柜，你可能没注意，但最近你铺子门口总有个穿灰大衣的人站着抽烟。不是来典当的，就是站一会儿就走了。我也不知道什么意思，就是觉得应该告诉你一声。","街坊提醒","隔壁裁缝铺"
2:MAIL,"好久没去你铺子坐坐了。前几天碰到你妈以前的老姐妹，她们问起你，我不知道该怎么说。你妈要是知道你现在的名声......算了，我也只是个多嘴的老太太。保重。","旧日邻居的问候","王婶"
2:MAIL,"致当铺经营者：近期本区域内有关部分典当行经营行为的非正式投诉有所增加。公会建议各成员自行审视近期业务，确保合规经营。此函仅作提醒，不针对任何具体个人。","关于近期的传闻","同业公会"
3:NPC_REACTION,"李阿姨在街口看到你，下意识把菜篮子换到了另一只手上——离你远的那只手。她冲你点了点头，脚步却比平时快了不少。",,
3:NPC_REACTION,"隔壁早点摊的老赵今天没像往常一样跟你打招呼。你走过去的时候，他正在擦桌子，擦得很认真，认真到好像没看见你似的。",,
3:NPC_REACTION,"一个小男孩拉着妈妈的手经过你的店门口。妈妈低头跟他说了句什么，小男孩回头看了你一眼，然后走得更快了。你没听清她说了什么，但你大概能猜到。",,
3:NPC_REACTION,"老客户张叔来赎东西。以前他总要坐下来喝杯茶聊几句，今天他把钱放在柜台上，拿了东西，说了声""谢谢""就走了。那个""谢谢""的语气，像是对陌生人说的。",,
3:NPC_REACTION,"你去杂货铺买烟。老板娘找零的时候，手指没碰到你的掌心——她把硬币放在柜台上，让你自己拿。以前她不是这样的。",,
