key,text
probing_play_economic,试探阶段的小动作不会引起太多注意...
bargaining_play_economic,博弈正酣他的表情在变化...
showdown_play_economic,摊牌时刻了——他的反应会非常强烈...
rate_threshold_5,五分之一个月的工资...这个利率开始有点意思了。
rate_threshold_10,十分之一...不是十分之一的一切。
rate_threshold_15,...你什么时候变成这种人的？
rate_threshold_20,...
precision_patience_bonus,你对这件东西了如指掌他能感受到你的专业——即使压价他也不觉得被冒犯。
appraisal_ceiling,已经看透了再鉴定也不会有新发现。
last_appraisal_warning,最后一次精细鉴定的机会了...
last_insight_warning,最后一次洞察的机会了...
conscience_reset,利率归零了...但代价是此后的经济操作大打折扣。
rate_locked,利率已经锁定了。这是你选的数字。
charity_deal,一分不赚...但看着他离开时的表情你觉得这笔交易值了。
wait_concession,他让步了...看来等待也是一种策略。
wait_no_reaction,他无动于衷...这一轮什么都没发生。
wait_impatient,他不耐烦了...等待不是万能的。
