key,text
pushpull:desperate,"洞察揭示对方绝望状态，谈判优势显著增加"
pushpull:bluffing,"洞察识破虚张声势，掌握主动权"
pushpull:sincere,"洞察确认对方真诚，略有谈判优势"
pushpull:firm,"洞察确认对方坚定，谈判优势未变"
feedback:generous:desperate,"她接过钱时手不再抖了。也许你给得太多了——但她脸上的如释重负，也许值得。"
feedback:generous:firm,"他微微点了点头，带着满意离开。你给出的价格超出了他的预期。"
feedback:generous:bluffing,"他装作无所谓地把钱收起来，但脚步明显轻快了。你可能被他演了一出好戏。"
feedback:generous:sincere,"他连声道谢，神情里有些意外的惊喜。你的慷慨对他来说意义非凡。"
feedback:fair:desperate,"她数着钱的手终于稳了下来。不多不少，刚好够她撑过去。"
feedback:fair:firm,"他沉默地把钱放进口袋。不高兴也不失望——这是一笔公平的交易。"
feedback:fair:bluffing,"他的表情难以捉摸。也许他在心里计算着什么，也许他只是在想下一步棋。"
feedback:fair:sincere,"他接过钱，微微点头。这是一个合理的结果，双方都能接受。"
feedback:harsh:desperate,"她接过钱时没有看金额，径直走向了门口。你不知道这点钱够不够她用。"
feedback:harsh:firm,"他拿起钱时眉头紧锁。这个价格伤了他的自尊，但他已经没有选择了。"
feedback:harsh:bluffing,"他的表情终于崩了一瞬——但很快又恢复了那副面具。你赢了这一局。"
feedback:harsh:sincere,"他低着头走了出去。你给的价格让他很失落，但他太老实了，不知道怎么争取。"
accuracy:desperate:far,"你当时觉得她会接受任何价格。回想起来，也许你给得太多了。"
accuracy:firm:close,"你判断他不会轻易退让。事实证明你的直觉是对的——再低一分他可能就走了。"
accuracy:bluffing:close,"你看穿了他的演技。最终的价格说明你的判断没有错。"
accuracy:sincere:far,"他说的价格确实是他认为合理的。回想起来，也许有更多空间可以谈。"
accuracy:_default,"你对他的观察是否准确？也许只有时间能告诉你答案。"
disposition:desperate,"她的手在微微颤抖。眼眶泛红，但强撑着不让眼泪掉下来。她把物品推向你时动作太快了——快到像是在逃离什么。"
disposition:desperate,"他的眼神里有一种急切，手指不自觉地摩挲着衣角。这个人需要钱，非常需要。"
disposition:desperate,"她说话的时候声音有些发抖。她不会为了几块钱和你纠缠——她只想快点拿到钱离开。"
disposition:firm,"他站得笔直，目光坚定地与你对视。双手交叉在胸前，下巴微微扬起。这是一个见过大风大浪的人。"
disposition:firm,"她的表情平静而坚决。她知道自己要什么，也知道自己的底线在哪里。"
disposition:firm,"他的态度不卑不亢，但眼神里有一种不容置疑的坚持。这种人一旦下定决心，很难动摇。"
disposition:bluffing,"他的眼神太镇定了——镇定得像是在演戏。但越是表现得不急，往往意味着越急。"
disposition:bluffing,"她装作漫不经心的样子，但你注意到她的目光一直在偷瞄你的反应。这是一个会演戏的人。"
disposition:bluffing,"他故意表现得很从容，但下意识地攥紧了拳头。"
disposition:sincere,"他的表情没有任何伪装，甚至有些不好意思。他开的价格就是他认为合理的价格——没有虚高，也没有故意压低。"
disposition:sincere,"她说话的时候眼神很真诚，没有一点算计的意思。"
disposition:sincere,"他看起来对这些交易不太熟悉，开价的时候还有些犹豫。"
moral:desperate_no_story,"她很急。急到不在乎价格。至于为什么...你不知道。"
moral:chain_no_reason,"这个人有自己的故事。你的决定会影响他的命运。"
moral:child:sick,"她提到孩子生病了。这笔钱可能是药费。压得太低，这个孩子可能等不到明天。"
moral:child:school,"这笔钱关系到一个孩子的未来。你的选择可能决定他能不能继续读书。"
moral:child:general,"她提到了自己的孩子。这笔钱对这个家庭很重要。"
moral:elder:sick,"这笔钱是给老人看病的。每一分钱都关系到一条生命。"
moral:elder:general,"这笔钱是为了家里的老人。"
moral:housing,"他说需要钱付房租。压得太低，这个人可能很快就没地方住了。"
moral:job,"他正在找工作。这笔钱可能是他最后的周转资金。"
moral:marriage,"这件物品承载着他的一段回忆。典当意味着放弃一段人生。"
moral:military,"这对他来说不只是一件物品，而是一段荣誉。低价成交意味着剥夺他最后的尊严。"
moral:reason_fallback,"他说：「{reason}」。这笔交易对他意义重大。"
fallback:floor_hint,"你对他的底线没有明确判断。"
