key,text
SLY:high_to_low,......你还真看得仔细。行吧，我就不装了。
SLY:high_to_low,看你这架势，藏着掖着也没意思了。
SLY:high_to_low,得，看来瞒不住你。实话实说吧。
HARD:high_to_low,......你确实在认真鉴定。说吧，你觉得值多少。
HARD:high_to_low,行，我承认你是有两把刷子的。
HARD:high_to_low,看来你不是那种随便糊弄人的，咱好好谈。
DESPERATE:high_to_low,你......你真的认真在看？太好了......
DESPERATE:high_to_low,谢谢你愿意仔细看......这东西对我很重要。
DESPERATE:high_to_low,你这么认真......也许事情没那么糟。
SUSPICIOUS:high_to_low,......你还真有点本事。
SUSPICIOUS:high_to_low,看你鉴定的样子，不像是在忽悠我。
SUSPICIOUS:high_to_low,嗯......你比我想象的专业。
NAIVE:high_to_low,哇，你看得好认真啊！
NAIVE:high_to_low,你这么仔细，看来这东西真的不简单。
SAVVY:high_to_low,看来你确实知道自己在做什么。
SAVVY:high_to_low,鉴定得不错，我放心了。
SENTIMENTAL:high_to_low,你这么用心地看它......谢谢你。
SENTIMENTAL:high_to_low,你能理解这东西的价值......我就放心了。
STUBBORN:high_to_low,......好吧，你确实仔细看了。那咱们好好谈价。
STUBBORN:high_to_low,你这么认真......我也不好意思太死板了。
