context_tag,item_tags,npc_appearance,npc_age,npc_mood,weight,reason_text,exclude_categories
INHERITANCE,VINTAGE_REAL|SENTIMENTAL,shabby|plain,*,reluctant,1,"这是家里老人留下的，但现在实在没办法了。",
INHERITANCE,VINTAGE_REAL|SENTIMENTAL,*,young,*,1,"祖母留下的遗物，不得已才拿来。",
INHERITANCE,VINTAGE_REAL|SENTIMENTAL,decent,*,calm,1,"祖上传下来的，放着也是放着。",
GIFT_RECEIVED,SENTIMENTAL,*,*,reluctant,1,"朋友送的，但现在顾不上念旧了。",
GIFT_RECEIVED,TRENDY,*,*,eager,1,"别人送的，我用不上，换点钱更实在。",
SUDDEN_NEED,*,shabby|plain,*,anxious,2,"这东西放了好久了，现在急需周转。",
SUDDEN_NEED,*,*,*,anxious,1,"最近手头紧，先当着应急。",
UNEXPECTED_FIND,VINTAGE_REAL,plain,*,calm,1,"收拾老房子翻出来的，听说是古董？",
UNEXPECTED_FIND,*,plain,*,calm,1,"搬家翻出来的旧东西。",
DEBT_HELP,*,shabby|plain,*,anxious,1,"帮朋友救急的，他现在还不上了。",
BREAKUP,SENTIMENTAL,*,young|middle,reluctant,1,"前任的东西，不想看到了。",酒类|文房
BREAKUP,TRENDY,*,young,eager,1,"前任的，留着膈应。",酒类|文房
HOBBY_QUIT,MECHANICAL|ARTISTIC,*,middle|elderly,calm,1,"以前的爱好，现在没时间玩了。",
UPGRADE,TRENDY|MECHANICAL,decent|fancy,*,calm,1,"换新的了，旧的处理掉。",
GENERIC,*,*,*,*,0.5,"就是想换点钱。",
GENERIC,*,*,*,*,0.5,"放着也没用，不如换点现金。",
