type,upgradeId,level,text
monologue,storage_expansion,0,
monologue,storage_expansion,1,"总算有地方放东西了..."
monologue,storage_expansion,2,"空间宽敞多了，能接更多活了。"
monologue,storage_expansion,3,"这后屋...快赶上仓库了。"
monologue,storage_expansion,4,"想收什么就收什么，不用再挑挑拣拣。"
monologue,storage_expansion,5,"整面墙都是架子...像个真正的当铺了。"
monologue,precision_bench,0,
monologue,precision_bench,1,"有了工作台，手艺终于有用武之地了。"
monologue,precision_bench,2,"工坊扩建后，修复效率高多了。"
monologue,precision_bench,3,"这些工具...师傅看到会欣慰吧。"
monologue,tea_set,0,
monologue,tea_set,1,"一壶好茶，能让急躁的客人坐下来。"
monologue,tea_set,2,"茶香四溢...谈生意也从容了。"
monologue,tea_set,3,"上好的茶具，客人都不舍得走了。"
monologue,spectrometer,0,
monologue,spectrometer,1,"有了这台仪器，假货无处遁形。"
monologue,spectrometer,2,"精度更高了...连细微的差异都能捕捉。"
monologue,spectrometer,3,"专业级设备，鉴定结果一目了然。"
monologue,appointment_board,0,
monologue,appointment_board,1,"写个本子记一下，明天谁来。"
monologue,appointment_board,2,"有了档案柜，客户信息一目了然。"
monologue,appointment_board,3,"消息灵通了...连他们的情绪都能感知到。"
monologue,appointment_board,4,"预约热线开通！生意上门了。"
monologue,appointment_board,5,"VIP名册...这才是真正的人脉。"
monologue,black_market_contact,0,
monologue,black_market_contact,1,"...有些东西，正规渠道走不通。"
monologue,black_market_contact,2,"关系越深，门路越广。"
monologue,black_market_contact,3,"地下的规矩，我已经摸透了。"
feature_hint,storage_expansion,3,解锁「分类摆放」：按类别自动整理库存
feature_hint,precision_bench,3,解锁新夜间活动类型
feature_hint,appointment_board,2,解锁：查看候选客户情绪状态
feature_hint,appointment_board,3,解锁：查看背景线索 + 新闻关联
feature_hint,appointment_board,4,可邀请人数增加为2人
feature_hint,appointment_board,5,解锁：客户筛选偏好设置
feature_hint,black_market_contact,1,解锁黑市交易渠道
feature_hint,black_market_contact,3,解锁：情报网络，热度加速冷却
feature_hint,black_market_contact,5,解锁：内部人士特权，最高收购价
