category,key,text
monologue_contract,CHARITY,算了，就当做个顺水人情。
monologue_contract,CHARITY,不赚这点钱了，图个心安。
monologue_contract,CHARITY,就当积德行善吧。
monologue_contract,CHARITY,反正也不亏本，帮一把。
monologue_contract,AID,合理的价格，大家都不亏。
monologue_contract,AID,中规中矩，公平交易。
monologue_contract,AID,这价钱，双方都能接受。
monologue_contract,AID,本分生意，求的就是个稳。
monologue_contract,STANDARD,标准行情，公平交易。
monologue_contract,STANDARD,这才是做生意该有的样子。
monologue_contract,STANDARD,规矩价，赚个辛苦费。
monologue_contract,STANDARD,利润合理，心里踏实。
monologue_contract,SHARK,做生意嘛，不吃亏是本事。
monologue_contract,SHARK,嗯... 这笔不错。
monologue_contract,SHARK,低买高卖，天经地义。
monologue_contract,SHARK,这利润... 满意。
monologue_pawn_ratio,HIGH,出这么多... 最好能来赎。
monologue_pawn_ratio,HIGH,价出高了，赌他回来赎。
monologue_pawn_ratio,HIGH,万一不来赎，我可亏了。
monologue_pawn_ratio,HIGH,给多了... 但愿不走眼。
monologue_pawn_ratio,NORMAL,价钱合适，赚多赚少看运气。
monologue_pawn_ratio,NORMAL,不高不低，稳妥。
monologue_pawn_ratio,NORMAL,差不多得了，稳稳当当。
monologue_pawn_ratio,NORMAL,这价位，我心里有数。
monologue_pawn_ratio,LOW,这东西到我手里，值得冒这个险。
monologue_pawn_ratio,LOW,低价收进来，不亏。
monologue_pawn_ratio,LOW,捡了个便宜... 嘿。
monologue_pawn_ratio,LOW,就算不来赎，也不亏本。
monologue_redemption,Strong,利息到手，稳稳的。
monologue_redemption,Strong,这人一看就会回来赎。
monologue_redemption,Strong,铁定回来，安心。
monologue_redemption,Strong,有来有往，好生意。
monologue_redemption,Medium,赎不赎... 走着看吧。
monologue_redemption,Medium,五五开，看他造化。
monologue_redemption,Medium,来不来赎都无所谓。
monologue_redemption,Medium,看情况再说。
monologue_redemption,Weak,看这人的样子，八成不会来赎了。
monologue_redemption,Weak,悬... 可能得砸手里。
monologue_redemption,Weak,来赎的话算惊喜。
monologue_redemption,Weak,做好砸手里的准备了。
monologue_redemption,None,这十有八九是卖了。
monologue_redemption,None,不会来赎的... 好在东西不亏。
monologue_redemption,None,就当直接收了件货。
monologue_redemption,None,来赎我还奇怪呢。
redemption_action,anxious,急匆匆地
redemption_action,anxious,松了口气地
redemption_action,anxious,手还在微微发抖地
redemption_action,anxious,长舒一口气地
redemption_action,calm,不慌不忙地
redemption_action,calm,从容地
redemption_action,calm,"点了点头，"
redemption_action,calm,面带微笑地
redemption_action,reluctant,小心翼翼地
redemption_action,reluctant,眼眶微红地
redemption_action,reluctant,轻声地
redemption_action,reluctant,小心地
redemption_action,eager,兴冲冲地
redemption_action,eager,迫不及待地
redemption_action,eager,满脸笑容地
redemption_action,eager,"大步走来，"
redemption_item,珠宝首饰,把{item}戴回了手上。
redemption_item,珠宝首饰,"仔细检查了{item}，满意地收好了。"
redemption_item,珠宝首饰,"将{item}贴在胸口，转身离去。"
redemption_item,钟表,把{item}重新戴上了手腕。
redemption_item,钟表,"检查了一下{item}的时间，还是准的。"
redemption_item,钟表,"将{item}放进口袋，脚步轻快地离开了。"
redemption_item,电子产品,"接过{item}检查了一下，松了口气。"
redemption_item,电子产品,打开{item}确认一切正常后离开了。
redemption_item,电子产品,"抱着{item}走了，嘴里念叨着什么。"
redemption_item,古董,"用布仔细包好{item}，小心翼翼地抱走了。"
redemption_item,古董,"端详了{item}一会儿，像是在重逢。"
redemption_item,古董,"将{item}裹好，步履蹒跚地离去。"
redemption_item,乐器,"接过{item}拨了两下弦，笑了。"
redemption_item,乐器,"把{item}背在肩上，哼着曲子走了。"
redemption_item,乐器,"紧紧抱着{item}，像找回了老朋友。"
redemption_item,服饰,将{item}叠好放进袋子里。
redemption_item,服饰,"拿起{item}比划了一下，满意地笑了。"
redemption_item,服饰,把{item}搭在臂弯里离开了。
redemption_item,箱包,"检查了{item}一遍，然后提着走了。"
redemption_item,箱包,"把{item}擦了又擦，背上离开了。"
redemption_item,箱包,"接过{item}，看了看里面，点点头走了。"
redemption_item,数码相机,"接过{item}检查了一下镜头，点了点头就走了。"
redemption_item,数码相机,"按了两下{item}的快门，确认没问题后离开。"
redemption_item,数码相机,"将{item}挂在脖子上，脚步比来时轻快多了。"
redemption_item,游戏设备,抱着{item}两眼放光地走了。
redemption_item,游戏设备,"接过{item}后摁了两下按键，露出笑容。"
redemption_item,游戏设备,"把{item}塞进背包，头也不回地走了。"
redemption_item_generic,,拿走了{item}，头也不回地离开了。
redemption_item_generic,,"接过{item}检查了一遍，放心地走了。"
redemption_item_generic,,"收好{item}后，道了声谢便离开了。"
redemption_item_generic,,"将{item}仔细收好，转身离去。"
redemption_item_generic,,"拿起{item}看了看，满意地点点头。"
appearance_hint,shabby,穿着破旧的人
appearance_hint,shabby,衣衫褴褛的来客
appearance_hint,shabby,那个穿得寒酸的人
appearance_hint,plain,穿着朴素的人
