key,text,tone
anomaly_mild,"嗯...有点蹊跷，但也可能是仪器偏差。",neutral
anomaly_mild,"读数有轻微波动，不确定是否有意义。",neutral
anomaly_mild,"指针微微偏了一下...也许值得多看看。",positive
anomaly_mild,"有点意思，这个读数暗示可能被低估了。",positive
anomaly_mild,"轻微异常...有时候好东西就藏在这种信号里。",positive
anomaly_mild,"仪器显示有点不对劲，留个心眼。",negative
anomaly_mild,"读数微偏，可能只是老化痕迹...也可能不是。",negative
anomaly_moderate,"...这个读数不太对。值得深入看看。",neutral
anomaly_moderate,"分析仪指针明显偏转，需要进一步鉴定。",neutral
anomaly_moderate,"这个偏差...如果是低估的话，可能捡到宝了。",positive
anomaly_moderate,"读数异常偏高——要么是仪器坏了，要么这东西比看起来值钱。",positive
anomaly_moderate,"明显的偏差信号。直觉告诉我，这可能是个机会。",positive
anomaly_moderate,"偏差不小...最好仔细看看是不是有问题。",negative
anomaly_moderate,"信号波动明显，这东西不太对劲。",negative
anomaly_moderate,"仪器警告——估价和真实价值之间有明显落差。",negative
anomaly_severe,"...这个读数不对。差得有点离谱。",neutral
anomaly_severe,"警报——偏差远超正常范围。",neutral
anomaly_severe,"读数爆表了...如果是真品被严重低估，这是千载难逢的机会。",positive
anomaly_severe,"离谱的偏差。要么是赝品，要么是被埋没的珍品——赌一把？",positive
anomaly_severe,"仪器疯了一样响——这东西有严重问题。",negative
anomaly_severe,"极端异常。高概率是赝品或严重高估，务必深度鉴定。",negative
normal,"设备确认：读数正常，未检测到异常。",
normal,"光谱分析完成，物品状态在正常范围内。",
normal,"仪器指针平稳——这件看起来没什么问题。",
normal,"扫描结束，一切正常。花在维护上的钱没白费。",
normal,"分析仪确认：估价与实际偏差在合理范围。",
normal,"指示灯稳定亮绿——可以放心。",
