eventType,field,value
THIEF_REGRET,sceneNarrative,"门铃响了。一个低着头的年轻人走进店里，目光躲闪，双手紧攥着衣角。他的声音很轻，像是怕被什么人听见——"
THIEF_REGRET,situationDesc,"他声称自己曾偷窃了「{itemName}」，现在良心不安，请求你归还原物。"
THIEF_REGRET,npcQuote,""我做了错事... 这东西不该出现在这里。能还给我吗？我想把它物归原主。""
THIEF_REGRET,npcName,"窃贼"
THIEF_REGRET,accentColor,"purple"
THIEF_REGRET,acceptLabel,"归还物品"
THIEF_REGRET,acceptSubLabel,"COOPERATE"
THIEF_REGRET,acceptDesc,"配合声称者，将物品归还。你会损失这件库存，但做了正确的事。"
THIEF_REGRET,acceptEffects,"归还物品给声称者,Humanity +2"
THIEF_REGRET,refuseLabel,"拒绝归还"
THIEF_REGRET,refuseSubLabel,"DENY CLAIM"
THIEF_REGRET,refuseDesc,"你没有义务配合一个自称小偷的人。物品是合法收当的。"
THIEF_REGRET,refuseEffects,"保留物品,Innocence -1"
ORIGINAL_OWNER,sceneNarrative,"一位衣着得体的来访者推开了店门，手里攥着几份文件。他的目光锁定在柜台后方的某件物品上，随即大步走向你——"
ORIGINAL_OWNER,situationDesc,"他声称自己是「{itemName}」的原主人，拿出了一些证明文件，要求你归还物品。"
ORIGINAL_OWNER,npcQuote,""这是我的东西！我有证据。它是被人偷走后典当到你这里的。请你做个好人，还给我吧。""
ORIGINAL_OWNER,npcName,"原物主"
ORIGINAL_OWNER,accentColor,"amber"
ORIGINAL_OWNER,acceptLabel,"归还原主"
ORIGINAL_OWNER,acceptSubLabel,"RETURN TO OWNER"
ORIGINAL_OWNER,acceptDesc,"对方持有证据。归还物品意味着经济损失，但能赢得尊重和信誉。"
ORIGINAL_OWNER,acceptEffects,"归还物品给原主人,Humanity +5,Credibility +2"
ORIGINAL_OWNER,refuseLabel,"拒绝归还"
ORIGINAL_OWNER,refuseSubLabel,"DENY CLAIM"
ORIGINAL_OWNER,refuseDesc,"物品是通过正规渠道收当的，你没有法律义务归还。但这会损害你的名声。"
ORIGINAL_OWNER,refuseEffects,"保留物品但损害声誉,Humanity -3,Credibility -2"
