id,urgency,genders,ages,appearances,itemHints,emotions,backgrounds,newsLinks
desperate_worker,high,middle-aged man;young man;middle-aged woman,中年;年轻,穿着工装;衣着朴素;满脸疲惫,提着工具箱;抱着一个纸盒;拿着一个布包,神色焦虑;眉头紧锁;欲言又止,像是工厂工人;手上有老茧;工服上有油渍,最近城东工厂裁员...;听说有家公司欠薪...;最近失业率上升...
desperate_parent,high,young woman;middle-aged woman;young man,年轻;中年,抱着孩子的照片;眼眶发红;神情憔悴,提着一个小盒子;拿着一个首饰袋;抱着一叠纸张,泪眼婆娑;强忍着泪水;声音颤抖,像是全职妈妈;手指上有奶渍;身上有婴儿奶粉味,最近物价上涨...;医疗费用增加...;学区房价格暴涨...
desperate_gambler,high,middle-aged man;young man,中年;年轻,满脸通红;衣衫不整;浑身酒气,提着公文包;拿着一块手表;攥着一沓票据,神色焦躁;坐立不安;眼神闪烁,像是赌场常客;手指发黄;身上有烟味,警方正在打击赌博...;地下赌场被端了...;高利贷问题严重...
student,medium,young man;young woman,年轻,背着书包;穿着运动服;戴着耳机,提着一台电脑;抱着一个游戏机盒子;拿着一部手机,眼神躲闪;有些局促;表情尴尬,像是大学生;手上有墨水印;背包上有校徽,大学学费又涨了...;兼职机会减少...;电子产品降价促销...
office_worker,medium,young man;young woman;middle-aged man,年轻;中年,穿着西装;打扮得体;提着公文包,拿着一块名表;提着一个精致的盒子;带着一套茶具,表情平静;若有所思;欲言又止,像是白领;手上有键盘印;西装袖口磨损,金融行业裁员潮...;房贷利率上调...;股市持续低迷...
elderly,medium,elderly man;elderly woman,年迈,步履蹒跚;头发花白;拄着拐杖,捧着一个旧木盒;拿着一本老相册;提着一个布袋,神情落寞;眼含泪光;叹息连连,像是退休老人;手上有老年斑;穿着过时但整洁,养老金不够用...;医保报销比例下降...;老年公寓涨价...
collector,low,middle-aged man;young man;young woman,中年;年轻,穿着考究;戴着眼镜;气质文雅,提着一个精致的箱子;拿着一件古董;带着一幅画卷,表情从容;神态自若;不紧不慢,像是收藏家;手指修长细腻;身上有古董店的气息,古董市场行情波动...;艺术品拍卖会取消...;某收藏家资金链断裂...
casual_seller,low,young woman;young man;middle-aged woman,年轻;中年,穿着休闲;打扮时髦;妆容精致,提着一个名牌包;拿着一套首饰;带着几件衣服,神态轻松;有说有笑;漫不经心,像是时尚达人;手上有美甲;身上香水味,二手奢侈品市场火爆...;断舍离风潮兴起...;网红带货假货多...
business_person,low,middle-aged man;middle-aged woman,中年,西装革履;气度不凡;手提公文包,拿着一套高尔夫球具;带着一块名表;提着一瓶名酒,表情严肃;不苟言笑;眼神锐利,像是企业老板;手上有高尔夫印;身上有雪茄味,企业资金周转困难...;商业地产价格下跌...;某行业出现危机...
mystery_visitor,medium,???,不详,看不清面容的人影;裹着深色外套的身影;戴着帽子压低帽檐的人,手中似乎捧着什么东西;怀里抱着一个形状不明的包裹;提着一个沉甸甸的袋子,无法判断情绪;看不清表情;神秘莫测,来历不明;身份成谜;无法推断身份,...与某条传闻似乎有关
