id,headline,body,category,priority,duration,sourceLabel,tags,effects,triggers,relatedChainId,triggerMailId,effectCategoryTarget,effectPriceMultiplier,effectRiskModifier,effectActionPointsModifier
news_emma_laptop_rejected,街头见闻：第12区的崩溃,"昨夜，一名年轻女性在网吧门口因无力支付终端租用费而被驱逐。目击者称，她一直在哭诉自己的笔记本电脑没能卖出去，导致错过了最后的面试邮件投递时间。在这个城市，失去连接就等于失去生命。",NARRATIVE_ECHO,100,1,[市民热线],emma;rejection;crisis,,chain_emma.stage==3;chain_emma.has_laptop==0,emma,,,,,
news_emma_body_found,警方通报：河岸发现无名女尸,昨夜在第12区运河边发现一具年轻女性尸体。死者身上未发现身份证明，仅有一张被揉皱的面试通知单。警方初步排除他杀。,NARRATIVE_ECHO,100,3,[警方通报],emma;death;extreme,,chain_emma.stage==99;chain_emma.hope<=-50,emma,mail_emma_hate,,,,
news_emma_hopeful,社区动态：人才公寓申请激增,"随着几家科技公司重新开放招聘，第12区的人才公寓申请处排起了长龙。一名刚刚递交材料的年轻女孩对记者表示：'哪怕只有1%的机会，也要试一试。'",NARRATIVE_ECHO,80,1,[社区动态],emma;positive,,chain_emma.stage==1;chain_emma.hope>50,emma,,,,,
news_emma_interview_fail,职场观察：学历通胀下的求职者,昨日中心区的一场招聘会发生混乱。数百名求职者争抢仅有的三个实习岗位。现场一名女孩在被拒后情绪失控，被保安带离。,NARRATIVE_ECHO,80,1,[职场观察],emma;negative,,chain_emma.stage==2;chain_emma.job_chance<30,emma,,,,,
news_emma_success,创业板快讯：新星崛起,"一家名为'HopeTech'的小型工作室今日获得A轮融资。创始人是一位曾在第12区挣扎的年轻女性，她表示：'有时候，你需要的只是一个没有放弃你的人。'",NARRATIVE_ECHO,90,2,[创业板快讯],emma;positive;success,,chain_emma.stage==99;chain_emma.hope>=80,emma,,,,,
news_zhao_wedding_good,社区趣闻：最特殊的证婚人,"昨日老街区一场婚礼引发关注。一位坐轮椅的老兵身着旧军装，佩戴一枚极为罕见的古董勋章为新人证婚。邻里称那是'真正的荣耀'。",NARRATIVE_ECHO,90,1,[社区趣闻],zhao;positive;success,,chain_zhao.stage==99;chain_zhao.trust>=50,zhao,,,,,
news_zhao_scandal,社会观察：变味的收藏热,"近日古玩市场流出一套带有血迹的立功档案，引发退伍军人协会强烈抗议。专家呼吁立法禁止买卖此类承载国家记忆的物品。",NARRATIVE_ECHO,95,2,[社会观察],zhao;negative;scandal,,chain_zhao.stage==99;chain_zhao.trust<=0,zhao,,,,,
news_zhao_hospital,医疗简报：老龄化社区的困境,第12区社区医院急诊室再次告急。许多患有慢性病的老人因无力支付高额押金而放弃治疗。甚至有老人通过变卖祖产来换取一周的药量。,NARRATIVE_ECHO,80,1,[医疗简报],zhao;negative,,chain_zhao.stage>=2;chain_zhao.stage<5,zhao,,,,,
news_susan_gamble,警方通报：捣毁地下赌档,"昨夜警方突袭了位于富人区边缘的一处地下扑克俱乐部。据称不少参与者是背着家人出来'寻找刺激'的全职主妇，现场查获大量用于抵押的奢侈品。",NARRATIVE_ECHO,85,2,[警方通报],susan;negative;gambling,,chain_susan.stage>=1,susan,,,,,
news_susan_family,八卦周刊：豪门恩怨,"某贸易大亨的妻子近日被传离家出走，坊间传闻与其巨额债务有关。知情人士透露，其家中的保险柜'空了一半'。",NARRATIVE_ECHO,80,1,[八卦周刊],susan;negative,,chain_susan.debt>60000,susan,,,,,
news_lin_crypto,科技前沿：显卡价格跳水,"随着虚拟货币市场崩盘，高端显卡价格一夜腰斩。大量'矿卡'流入二手市场，专家提醒消费者注意辨别。",MARKET_INTEL,70,2,[科技前沿],lin;electronics;market,appraisal|electronics_price|-40|PERCENTAGE|2,chain_lin.stage>=1,lin,,电子产品,0.6,,
news_lin_police,校园警示：宿舍盗窃案频发,"大学城警方发布预警，近期多起宿舍盗窃案均由熟人作案。丢失物品多为贵重手表、电子产品等易变现财物。",NARRATIVE_ECHO,75,1,[校园警示],lin;theft,,chain_lin.stage==0,lin,,,,,
