tag,tooltip
police,警方巡查加强，赃物被查获概率提高
crackdown,严打期间，收购来源不明物品风险极大
risk,市场风险上升，交易需更加谨慎
price_up,相关品类估值上涨，可能遇到更多高价物品
price_down,相关品类估值下跌，收购价格可调低
luxury,奢侈品市场波动，注意价格变化
gold,贵金属价格变动，影响珠宝类估值
jewelry,珠宝市场受外部因素影响
electronics,电子产品市场波动，注意二手设备估值
antique,古玩市场动态，注意鉴定风险
fake,赝品风险增加，鉴定需更加仔细
weather,恶劣天气影响体力，行动点数可能减少
holiday,节日气氛提升消费意愿，可能遇到更多客户
economy,经济环境变化，影响日常经营成本
infrastructure,基础设施问题，可能影响行动点数
traffic,交通状况影响客流量
violation,违规记录引发监管关注
investigation,监管调查中，经营需格外小心
theft,盗窃案频发，注意物品来源核实
gambling,地下赌博相关，可能涉及抵押品流入
emma,与艾玛的故事相关
zhao,与老兵赵的故事相关
susan,与苏珊的故事相关
lin,与小林的故事相关
positive,事态向好发展
negative,事态恶化
death,极端后果已发生
success,故事走向积极结局
scandal,丑闻曝光，可能影响声誉
