key,text
action_default,"你在灯下仔细端详着{item_name}..."
pawn_active_suffix,"...只是，这件物品的主人还在等着它。"
resonance,"{item_name}与{paired_name}之间产生了微妙的共鸣...它们之间似乎有着不为人知的联系。"
discovery:MECHANICAL,"精密的机械结构让你对工艺有了更深的理解。"
discovery:GOLD,"贵金属的质感与重量，让你对材质工艺有了新的认识。"
discovery:VINTAGE_REAL,"岁月在这件物品上留下的痕迹，诉说着一段无声的历史。"
discovery:SENTIMENTAL,"你仿佛能感受到物品主人曾经的情感寄托。"
discovery:ARTISTIC,"艺术的美感让你的感知变得更加敏锐。"
discovery:_default,"你从中获得了一些领悟。"
epiphany:MECHANICAL:钟表,"原来如此...每一个齿轮的咬合角度，每一根游丝的弹性系数——它们不是零件，是凝固的时间本身。{item_name}的秘密，全在那永不停歇的嘀嗒声里。"
epiphany:GOLD,"金属不会说谎。成色、密度、折光率——{item_name}把答案刻在每一个分子里。你只需要足够安静，就能听见它的低语。"
epiphany:ARTISTIC,"笔触之间藏着呼吸的节奏，色彩的叠加记录着犹豫与决断。{item_name}不只是一件作品——它是创作者灵魂的切片。"
epiphany:VINTAGE_REAL:ARTISTIC,"岁月和技艺在这里交汇。你终于读懂了{item_name}表面每一道裂纹的含义——那不是瑕疵，是时间亲笔写下的签名。"
epiphany:VINTAGE_REAL,"握着{item_name}，你看到了它流经的所有手掌。一百年的悲欢离合浓缩在这方寸之间，而你是最后一个读懂它的人。"
epiphany:SENTIMENTAL,"这不只是一件物品。{item_name}承载着某个人最珍贵的记忆——那些无法用金钱衡量的时刻。你触碰到了它的灵魂。"
epiphany:TRENDY,"在批量生产的外壳之下，你发现了独一无二的痕迹。{item_name}的真正价值不在标价，而在使用它的人赋予它的意义。"
epiphany:cat:乐器,"你的指尖拂过琴弦时，仿佛听到了所有曾在它上面演奏过的旋律。{item_name}记住了每一首歌——而现在，你也记住了。"
epiphany:cat:书籍,"字里行间，你找到了那个写下它们的人。墨迹的深浅、笔锋的转折——{item_name}是一封跨越时空的信，而你终于读完了。"
epiphany:cat:文房,"字里行间，你找到了那个写下它们的人。墨迹的深浅、笔锋的转折——{item_name}是一封跨越时空的信，而你终于读完了。"
epiphany:cat:酒类,"封口之下是凝固的时光。{item_name}的每一滴都在诉说酿造那年的阳光、土壤和匠人的等待。真正的佳酿，从不急于被打开。"
epiphany:cat:收藏品,"表面的旧迹之下，是被忽略的珍贵。{item_name}的真正价值，只有愿意花时间去看的人才能发现。而你，看到了。"
epiphany:_default,"你已经完全理解了{item_name}的一切秘密。表象之下的真实，此刻在你眼中清晰如镜。"
glimpse:MECHANICAL:钟表,"...恍惚间，你听到了嘀嗒声背后更深沉的节奏。仿佛有人在用{item_name}计算着什么重要的日子..."
glimpse:MECHANICAL:钟表,"...表盘上的数字忽然变得模糊，你看到了一双苍老的手，在反复校准着指针..."
glimpse:MECHANICAL:钟表,"...机芯的齿轮在微光下闪烁，每一个咬合似乎都在低语着制表师的执念..."
glimpse:GOLD,"...金属表面映出了一张模糊的脸。不是你的——是很久以前的某个人..."
glimpse:GOLD,"...指尖传来一阵温热。这种金属的温度，不应该来自物质本身..."
glimpse:GOLD,"...光线掠过{item_name}时，你瞥见了一丝不属于这个时代的光泽..."
glimpse:VINTAGE_REAL,"...岁月的包浆下，隐约浮现出一个模糊的场景：有人在昏暗的灯下仔细擦拭着{item_name}..."
glimpse:VINTAGE_REAL,"...你闻到了一股陈旧的气息——不是霉味，而是某个时代特有的空气..."
glimpse:VINTAGE_REAL,"...旧日的痕迹在灯下若隐若现，像是有人在低声诉说着一段往事..."
glimpse:SENTIMENTAL,"...模糊的画面闪过...有人将{item_name}紧紧攥在手里，低声说着""一定会回来取的""..."
glimpse:SENTIMENTAL,"...一个短暂的幻觉：小小的房间，温暖的灯光，{item_name}被小心翼翼地放在显眼的位置..."
glimpse:SENTIMENTAL,"...你仿佛听到了一声叹息。不是来自风，是来自物品本身..."
glimpse:ARTISTIC,"...一瞬间，色彩变得异常鲜明。你似乎看到了创作者下笔时的犹豫与坚定..."
glimpse:ARTISTIC,"...画面深处有一个被刻意遮盖的细节。是修改？还是秘密？..."
glimpse:ARTISTIC,"...你的目光穿透了表面，看到了最初的底稿。原来的构思和最终呈现截然不同..."
glimpse:TRENDY,"...使用痕迹描绘出主人的轮廓——年轻的手指，急切的操作，和某些深夜的独处时光..."
glimpse:TRENDY,"...批量制品的缝隙里，藏着一点点独特。某个人曾试图让{item_name}变得与众不同..."
glimpse:cat:乐器,"...指尖触碰琴身时，木纹仿佛在振动。很轻，像是遥远的回声..."
glimpse:cat:乐器,"...恍惚间你听到了一段旋律的残片。不是幻觉——是共鸣腔里残留的记忆..."
glimpse:cat:乐器,"...琴弦的张力中藏着无数次调音的痕迹。每一次微调，都是演奏者与乐器的对话..."
glimpse:cat:书籍,"...翻动间，你瞥见了页边空白处的铅笔痕迹。有人曾在这里停留很久..."
glimpse:cat:书籍,"...墨渍的分布不是随机的。细看之下，像是某种刻意留下的标记..."
glimpse:cat:文房,"...翻动间，你瞥见了页边空白处的铅笔痕迹。有人曾在这里停留很久..."
glimpse:cat:文房,"...墨渍的分布不是随机的。细看之下，像是某种刻意留下的标记..."
glimpse:cat:酒类,"...封蜡上的指纹已经模糊，但你能感受到封瓶那一刻的郑重..."
glimpse:cat:酒类,"...酒液在灯光下折射出琥珀色的光。时间在瓶中流得比外面慢..."
glimpse:cat:收藏品,"...收藏者留下的痕迹比物品本身更有故事——保护套上的磨损说明它曾被反复取出欣赏..."
glimpse:cat:收藏品,"...一闪而过的画面：某个柜子的深处，{item_name}被小心地包裹在绸布中..."
glimpse:_default,"...恍惚间，你似乎看到了{item_name}过去的影子..."
glimpse:_default,"...一段模糊的记忆从{item_name}中浮现，转瞬即逝..."
distraction,"今晚心不在焉...窗外的雨声搅乱了思绪，只捕捉到了一些浅层的信息。"
distraction,"疲倦不知不觉地袭来。你发现自己盯着同一个细节看了很久，却什么也没看出来。"
distraction,"脑海里浮现出母亲的面容，注意力被牵走了...等回过神时，精力已经耗散大半。"
distraction,"不知为何，今晚的灯光让你觉得刺眼。勉强维持的专注，只换来了有限的收获。"
distraction,"手指触碰的瞬间，思绪飘到了白天的某个场景...等你拉回注意力，已经错过了最佳观察窗口。"
remarkable,"等等...这个细节——普通人绝对会忽略——但你注意到了{item_name}上一处极其微妙的痕迹！"
remarkable,"灵光一闪！你从一个完全意想不到的角度看到了{item_name}的隐藏线索，所有碎片突然串联起来。"
remarkable,"你的手指滑过一个不起眼的凹陷...不对，这不是瑕疵——这是故意留下的标记！收获翻倍！"
remarkable,"今晚的状态出奇地好。{item_name}表层下的秘密像潮水一样涌来，你几乎来不及记录。"
remarkable,"一个极其细微的温差变化引起了你的注意。深入探查后，你发现了远超预期的信息量。"
block:NO_ENERGY,"精力不足"
block:ALREADY_INSIGHTED,"今晚已研究过"
block:DEPLETED,"已被研究透彻"
block:NOT_IN_INVENTORY,"物品不在库存中"
block:ITEM_REDEEMED,"物品已被赎回"
block:ITEM_SOLD,"物品已售出"
block:_default,"无法研究"
