ID,Name_Default,Name_Restored,Name_Reforged,Category,Real_Value,Visual_Value,Uncertainty,Init_State_Tags,Attr_Tags,Hidden_Traits,Know_Cap,Desc_Default,Desc_Restored,Desc_Reforged,Fit_Tags,Filler_Pool
item_watch_01,停摆的旧表,精工润滑的怀表,维多利亚时期金表,钟表,500,500,0.3,BROKEN,MECHANICAL;VINTAGE_REAL,trait_engraving,100,一块老式怀表，指针停在三点整，表壳上有岁月的痕迹。,机芯经过精心养护，指针走时精准，黄铜表壳散发出温润的光泽。,表壳内侧隐约可见皇室徽记，这是一块有故事的古董。,elderly;middle;SENTIMENTAL,true
item_ring_01,蒙尘的戒指,抛光银戒,名门传家宝,首饰,300,350,0.25,DIRTY,GOLD;SENTIMENTAL,trait_inscription,80,一枚银质戒指，表面蒙着灰尘，但能感受到它的分量。,戒指经过抛光，银面如镜，内圈刻着的字迹清晰可见。,据考证这是某个名门望族的传家之物，有着百年历史。,elderly;female;SENTIMENTAL,true
item_painting_01,褪色的油画,修复的风景画,失落大师真迹,艺术品,800,600,0.4,DIRTY;RUSTED,ARTISTIC;VINTAGE_REAL,trait_signature;trait_hidden_layer,150,画框斑驳，画面颜色已经褪去大半，但构图依然优美。,清洗修复后，画面重现昔日风采，笔触细腻，意境深远。,经专家鉴定，这是一幅失传已久的大师早期作品。,elderly;middle;decent;fancy,true
item_vase_01,裂纹花瓶,修补古瓷,官窑珍品,古董,1200,1000,0.35,BROKEN,ARTISTIC;VINTAGE_REAL,trait_kiln_mark,120,青花瓷瓶身有一道细微的裂纹，但釉色依然温润。,裂纹经金缮工艺修补，反而增添了一份残缺之美。,底款证实这是清代官窑出品，存世极少。,elderly;decent;fancy,true
item_book_01,虫蛀旧书,精装古籍,孤本善本,书籍,200,180,0.2,BROKEN;DIRTY,VINTAGE_REAL;SENTIMENTAL,trait_margin_notes,60,书页发黄，边角有虫蛀痕迹，但字迹依然清晰。,经过脱酸处理和重新装订，这本古籍重获新生。,经考证，这是某部典籍的唯一存世版本。,elderly;middle,true
item_watch_gambler,金标手表,保养后的金表,名牌限量款,钟表,400,450,0.3,DIRTY,MECHANICAL;GOLD,trait_water_damage,80,表面有划痕，表带有些松动，但分量很足。机芯声音浑浊，可能是进过水。,经过专业保养，机芯恢复清脆，表壳重新抛光。,经鉴定为某奢侈品牌早期限量款，极具收藏价值。,middle;fancy;male,true
item_console_student,便携游戏机,翻新游戏机,珍藏限定版,电子产品,1000,1200,0.2,,MECHANICAL;TRENDY,,60,屏幕贴膜完好，按键回弹清脆。系统已被重置，账号已登出。,经过深度清洁和系统优化，性能如新。,这是某款游戏的联名限定版，全球限量发售。,young;plain;shabby,true
item_diamond_mystery,裸钻,净度提升钻石,传奇名钻,珠宝,3000,2500,0.4,,GOLD;ARTISTIC,trait_serial_scratched,120,一颗约1克拉的裸钻，切工精湛。腰码被刻意磨损了。,经过重新切割，净度和火彩都有所提升。,据说这颗钻石曾属于某位传奇人物，有着神秘的过往。,fancy;decent,true
emma_item_clothes,名牌职业套装,干洗职业套装,设计师定制款,服饰,1200,1200,0.25,,TRENDY;SENTIMENTAL,trait_emma_dryclean;trait_emma_inkstain,80,当季新款的高定职业套装，用料考究。,经过专业干洗和熨烫，衣服焕然一新。,经鉴定为某设计师早期定制款，极具收藏价值。,,false
emma_item_skincare,贵妇面霜礼盒,保鲜护肤套装,限量珍藏版,奢侈品,600,600,0.3,,TRENDY,trait_emma_expiry;trait_emma_spoon,60,一套未拆封的高级护肤品，包装精美。,经过重新密封保存，品质依旧。,这是某品牌已停产的限量版，市面难寻。,,false
