tier,tone,modifier,text
CHARITY,gratitude,,"他的眼里闪着感激的泪光。这种温暖值多少钱？"
CHARITY,gratitude,,"不收利息...这是在做善事，还是在买心安？"
CHARITY,gratitude,,"免费的午餐。但我付得起吗？"
CHARITY,gratitude,desperate,"他快要跪下了。绝望的人不会忘记恩情。"
CHARITY,gratitude,desperate,"他在发抖——不是因为冷，是因为终于有人帮他。"
AID,relief,,"微薄的利息，体面的交易。双方都能接受。"
AID,relief,,"不算慈善，但也不算剥削。恰到好处。"
AID,relief,,"公道价。他松了口气。"
AID,relief,desperate,"他需要的不多。这点利息几乎等于免费。"
STANDARD,calculation,,"标准利率。专业。冷静。无情？"
STANDARD,calculation,,"这是行规。不多不少。"
STANDARD,calculation,,"精明的选择。他在计算得失。"
ELEVATED,tension,,"利率开始咬人了。他的表情在变化。"
ELEVATED,tension,,"他在权衡——这笔钱值不值得背上这种利息。"
ELEVATED,tension,,"偏高了。但他还在考虑。"
HIGH,greed,,"贪婪的味道。他闻到了。"
HIGH,greed,,"高利率像一把刀，割在他的未来上。"
HIGH,greed,,"这已经不是生意了，这是掠夺的开始。"
HIGH,greed,desperate,"他知道这是陷阱，但他别无选择。"
SHARK,fear,,"他在恐惧中签字。这不是交易，这是刑罚。"
SHARK,fear,,"掠夺者的利率。他的眼神已经死了。"
SHARK,fear,,"这种利息会把他的生活碾碎。但我需要这笔钱。"
SHARK,fear,desperate,"高利贷。他在用未来换今天。绝望让人盲目。"
SHARK,fear,desperate,"他会后悔的。但现在他只想活过今天。"
