key,name,description,learnMonologue
SENSE_HIDDEN,"察隐","开始鉴定前，物品散发微弱光晕提示是否存在隐藏特征（有/无）","你的手指掠过物品表面，第一次感到......有些东西藏在看不见的地方。"
PIERCE_ILLUSION,"破妄","若物品为赝品(FAKE)，首次鉴定直接揭示；非赝品时，首次鉴定必定发现一个隐藏特征","你看着那枚戒指，它在所有人眼中是完美的。但你看到了——镀层下的铜绿。你在想，你更羡慕看不到的人，还是看到的自己。"
APPLY_PRESSURE,"施压","直接降低客户心理底价 8%，耐心 -1。每次议价限用一次","做了这么多笔交易之后，你明白了——价格从来不是固定的。"
HEART_STRIKE,"攻心","直接降低客户心理底价 10%，不消耗耐心。每次议价限用一次","你发现，最有效的武器不是真相——是对方心里那道裂缝。"
EMPATHY,"共情","使用洞察系统时，同样 1 AP 可多揭示一层信息","你开始听到话语背后的声音——那些没有说出口的恐惧和期望。"
COMFORT,"抚慰","送客时对困境中的 NPC 正向影响事件链（hope +5，人情 +1）","你无法改变什么。但一句话，有时候比一叠钞票更有重量。"
SHARP_SCRUTINY,"明察秋毫","每发现 1 个 FLAW 特征，客户心理底价自动降低 3%","你第一次对着一块划痕笑了。他注意到了你的笑容，不安地低下了头。"
POKER_FACE,"不动声色","发现 FLAW 时不再消耗客户耐心","你的手摸到了裂缝，脸上却微笑着说'品相不错'。他信了。你发现，说谎原来这么容易。"
CHERISH_ALL,"惜物如人","慈善/援助档成交后，送客阶段解锁""额外关照""按钮","你开始相信——善意不会消失，它只是换了一种形式回来。"
WORD_OF_MOUTH,"口口相传","每次使用""额外关照""后，3-5天后有概率获得推荐客户","门口站着一个你从没见过的人。她说，'有个人让我来找你。说你会帮忙的。'你不记得帮过谁。"
FORESIGHT,"洞若观火","议价开始时，自动感知客户赎回意愿（仅高或低时触发）","你看着他的背影，突然知道——他不会回来了。"
SEE_CONSEQUENCE,"因果自见","悬停合同档位时显示命运色彩暗示；交易后获得命运闪现","从今以后，每一笔交易都不再只是数字。你看到了它的重量。"
