key,text
intuition:reforge:low:blind,你对这件东西和这个人一无所知。直觉告诉你...算了，你没有直觉。
intuition:reforge:low:glimpse,你对物品有些了解，但主人的面孔依然模糊。小心行事。
intuition:reforge:low:partial,你知道一些事，但不足以预判他的反应。谨慎或许是多余的。
intuition:reforge:low:clear,你清楚这件物品对主人而言不过是普通物件。放手去做。
intuition:reforge:mid:blind,你对这件东西和这个人一无所知。但手指间有种奇怪的沉重感。
intuition:reforge:mid:glimpse,鉴定时你隐约感到这不是一件寻常物品。主人的故事...你还不知道。
intuition:reforge:mid:partial,你的洞察告诉你这件物品承载着什么，但你无法确定改变它的后果。
intuition:reforge:mid:clear,你了解这件物品和它的主人。改变它可能引起不安，也可能赢得敬佩。
intuition:reforge:high:blind,你对这件东西和这个人一无所知。但灯光下，它散发着一种让你犹豫的气息。
intuition:reforge:high:glimpse,鉴定揭示了些许端倪——这件物品对某人意义非凡。你却不知那人是谁。
intuition:reforge:high:partial,你的洞察层层剥开了真相：这件物品承载着深厚的情感。三思而后行。
intuition:reforge:high:clear,你完全了解这件物品的分量。主人的眼神、声音、典当时的犹豫...都历历在目。
intuition:reforge:unknown:blind,你对这件东西和这个人一无所知。
intuition:reforge:unknown:glimpse,你对物品有些了解，但对主人一无所知。
intuition:reforge:unknown:partial,你有一些洞察，但不足以判断。
intuition:reforge:unknown:clear,你了解物品，但无法评估主人的情感。
intuition:counterfeit:_:blind,伪造受托之物...你甚至不知道它的主人是谁。这让事情变得更简单，还是更危险？
intuition:counterfeit:_:glimpse,你对物品有些了解。将真品变成赝品...这条路一旦踏上就没有回头。
intuition:counterfeit:_:partial,你知道主人的一些事。把他的信任变成一个谎言，你准备好了吗？
intuition:counterfeit:_:clear,你清楚地知道他是谁、他为什么典当。伪造这件物品，就是看着他的脸撒谎。
blind:confirm:title,你对这件东西和这个人都不了解。
blind:confirm:body,没有鉴定，没有洞察。你即将对一件一无所知的物品动手。结果完全不可预测。
blind:confirm:proceed,凭直觉来
blind:confirm:cancel,再想想
