id,names,descriptions,itemTemplateIds,redemptionResolve,behaviorTags,identityTags,priceModMin,priceModMax,greeting,pawnReason,redemptionPlea,negotiationDynamic,accepted_fair,accepted_fleeced,accepted_premium,rejected,rejection_standard,rejection_angry,exit_grateful,exit_neutral,exit_resentful,exit_desperate
desperate_worker,Old Wang;Worker Li;Zhou Brother,A tired worker in dirty overalls.;A man with calloused hands.;Someone who looks like they just got off a night shift.,item_watch_gambler;item_console_student,Medium;Strong,DESPERATE|SAVVY,Worker;HighNeed,0.6,0.8,"Boss... I need some cash, quickly.",The factory hasn't paid us in two months...,I'll definitely come back once the back pay comes through!,"Please... my family is counting on this.","Thank you, boss.",…Fine.,You're a good person!,I understand...,I'll try elsewhere.,You have no heart!,Thank you so much!,Goodbye.,...,What am I going to do...
desperate_parent,Ms. Chen;Young Mother Liu;Parent Zhang,A young mother with tired eyes.;Someone clutching a small photo.;A parent who looks like they haven't slept.,item_console_student,Strong,DESPERATE,Parent;HighNeed;Emotional,0.5,0.7,Excuse me... do you take jewelry?,My child needs medicine... the hospital won't wait.,"This is my wedding ring... I must get it back.","Please, it's all I have left.",Thank you.,...*sobs quietly*,God bless you!,Please... there must be something...,I understand.,You're heartless!,You've saved us!,Thank you.,...,*leaves in tears*
desperate_gambler,Old Zhang;Gambler Chen;Lucky Wang,A man reeking of alcohol.;Someone with bloodshot eyes.;A person with trembling hands.,item_watch_gambler,"Weak;None",STUBBORN|DESPERATE,Gambler;HighRisk,0.4,0.6,"Hey... I got something good. Quick, give me cash.","Tonight's my night, I can feel it! Just need a bit more capital.","When I win big, I'll buy this place!","Come on, don't waste my time!","Yeah, yeah, hurry up.",Tch... robbery.,Ha! You're alright!,Your loss!,Whatever.,Scam shop!,Tonight's the night!,Later.,Bad luck...,Just need one more try...
student,Student Chen;Young Li;Xiao Wang,A nervous college student.;Someone with a backpack.;A young person avoiding eye contact.,item_console_student,Strong;Medium,SAVVY,Student;Young,0.7,0.9,Um... hi. Do you take electronics?,I spent too much this month... can't let my parents know.,I'll definitely get it back when my allowance comes!,"This is the latest model, you know...","Thanks, you saved me!",…Okay.,"Wow, really?!",Oh... okay.,I'll try online.,...,"You're the best!",Bye.,So stingy...,Mom is going to kill me...
office_worker,Mr. Liu;Office Chen;Manager Wang,Someone in a wrinkled suit.;A professional trying to look composed.;An office worker on their lunch break.,item_watch_gambler;item_console_student,Medium;Strong,SAVVY,WhiteCollar;Professional,0.8,1.0,Good afternoon. I have something of value.,Temporary cash flow issue. Nothing to worry about.,I'll be back next week when my commission clears.,This is worth more than you think.,Acceptable.,That's rather low.,Most generous.,Perhaps another establishment.,Very well.,Unprofessional.,Excellent service.,Good day.,I expected better.,This can't be happening...
elderly,Grandpa Li;Old Mrs. Zhang;Elder Wang,An elderly person moving slowly.;Someone with white hair and kind eyes.;An old person clutching a worn box.,item_watch_gambler,Medium;Weak,SAVVY+SENTIMENTAL,Elderly,0.5,0.7,Young person... may I show you something?,The grandchildren need school fees... I don't need this anymore.,"If my body holds up, I'll come back for it.",My late spouse gave this to me... 50 years ago.,"Thank you, child.",*sighs* Times are hard.,You have a kind heart.,"I understand, young one.",Perhaps it's fate.,...,Bless you.,Take care.,The young these days...,What will I tell them...
collector,Collector Zhao;Antique Fan;Mr. Heritage,Someone with refined taste.;A collector examining things carefully.;An enthusiast in vintage clothing.,item_diamond_mystery;item_watch_gambler,"Weak;None",SAVVY|SUSPICIOUS,Collector;LowNeed,1.0,1.3,"Ah, a proper establishment. I have something... interesting.",Liquidating some pieces to acquire others. The collector's life.,"If I don't return, consider it a fair trade.","You do recognize the provenance, yes?",A fair assessment.,You undervalue it.,You have a good eye!,Perhaps you're not the right buyer.,"Another time, perhaps.",Philistines.,A pleasure doing business.,Until next time.,Pearls before swine...,...
casual_seller,Fashionable Lin;Trendy Mei;Stylish Zhou,Someone well-dressed.;A fashion-conscious person.;Someone who looks like they don't need the money.,item_console_student;item_watch_gambler,"None;Weak",SAVVY,Casual;LowNeed,0.9,1.2,Hi! I'm decluttering. Interested?,Marie Kondo says if it doesn't spark joy... *laughs*,"Eh, probably not coming back for it.","It's authentic, I have the receipt somewhere.","Cool, thanks!",Really? Okay.,"Generous! Here's my card!","No worries, I'll try Xianyu.",Okay bye!,Rude.,You're sweet!,Bye bye!,Whatever.,...
mystery_visitor,Stranger;The Cloaked One;Unknown Visitor,"A figure whose face is obscured by shadow.;Someone wrapped in a dark coat, expression unreadable.;A person with their hat pulled low, avoiding eye contact.",item_diamond_mystery;item_watch_gambler;item_console_student,"None;Weak;Strong",SUSPICIOUS|SAVVY|DESPERATE,Mystery;Unknown,0.5,1.3,"...You buy things here, right?",I'd rather not say.,…Maybe I'll come back. Maybe not.,Take it or leave it.,…Fine.,*nods silently*,…Generous.,*leaves without a word*,...,Your loss.,…Thank you.,*nods*,...,*disappears into the crowd*
business_person,Boss Chen;CEO Wang;Director Li,A confident business person.;Someone who exudes authority.;An executive type checking their watch.,item_watch_gambler;item_diamond_mystery,Strong;Medium,SAVVY|STUBBORN,Business;Wealthy;LowNeed,1.1,1.4,Let's make this quick. I have a meeting.,Cash flow for an investment. Standard procedure.,My assistant will handle the retrieval.,I know what it's worth. Don't waste my time.,Fine.,Acceptable for now.,"Smart. Here's my card.",Then we're done here.,Moving on.,Noted.,Efficient.,Good.,...,...
