customer_type,card_id,name,description,drop_category,effect_type,effect_params,weight,focus_cost,negative_type
HARD,hard_pressure,施压,强硬客户的施压,disruption,patience,patienceCost:1,30,0,
HARD,hard_resist,坚持己见,拒绝让步的态度,disruption,economic,pawnPercent:3,25,0,
HARD,hard_story_late,强硬外壳,表面强硬下的脆弱,narrative,narrative,triggerDialogue:hard_vulnerable,10,0,
SOFT,soft_plea,苦苦哀求,恳求的目光,temptation,economic,rateAdjust:1,25,0,
SOFT,soft_story,孩子的照片,她把照片放在柜台上,narrative,narrative;economic,triggerDialogue:soft_child;lockPriceCut:true,20,0,
SOFT,soft_tears,泪水,眼眶泛红,temptation,economic,pawnPercent:-5,20,0,
SOFT,soft_despair,绝望倾诉,诉说困境,narrative,narrative,triggerDialogue:soft_despair,15,0,
SLY,sly_trick,虚报价值,试图混淆视听,disruption,information,addUncertainty:0.05,30,0,
SLY,sly_bait,诱饵,看似有利的条件,temptation,economic,rateAdjust:2;pawnPercent:5,20,0,
SLY,sly_story_late,狡猾的理由,背后的生存困境,narrative,narrative,triggerDialogue:sly_survival,10,0,
CALM,calm_reason,理性分析,冷静的市场分析,disruption,patience,patienceCost:0,25,0,
CALM,calm_patience,耐心等待,不急不缓的态度,temptation,economic,pawnPercent:-3,20,0,
CALM,calm_story,意外深意,平静表面下的暗流,narrative,narrative,triggerDialogue:calm_depth,15,0,
HARD,hard_intimidate,威压,强硬的气势让你分心,disruption,patience,patienceCost:0,20,0,occupation
SLY,sly_distract,干扰,巧妙的话术打乱你的思路,disruption,patience,patienceCost:0,20,0,occupation
HARD,hard_overwhelm,气场压制,强大的气场压制你的思维,disruption,patience,patienceCost:0,15,0,debuff
SOFT,soft_guilt,愧疚感,对方的处境让你心生愧疚,disruption,patience,patienceCost:0,15,0,debuff
SLY,sly_confusion,混淆视听,故意说些让你困惑的话,disruption,patience,patienceCost:0,15,0,sacrifice
CALM,calm_dilemma,两难抉择,冷静地提出一个难以回答的问题,disruption,patience,patienceCost:0,15,0,sacrifice
