category,key,text,priority,condition
bedtime,broke_critical,账上的数字变成了红色。如果下周交不上租金，我和妈妈就会被赶到街上... 必须想办法。,100,cash_lt_100
bedtime,mother_critical,医院刚才发来了催款单。如果停药... 我不敢想下去。在这个城市，命是用钱买的。,95,mother_critical
bedtime,rich,"今天的保险柜比往常沉了一些。但这还不够... 手术费是个天文数字。我不能松懈。",50,cash_gt_5000
bedtime,surviving,又撑过了一天。只要还有明天，就还有希望。,10,always
bedtime,guilt_high,"我今天看见了那个人离开时的眼神... 我是不是做得太绝了？不，我没得选。为了活下去，良心是奢侈品。",80,satisfaction_resentful_or_desperate
bedtime,good_karma,"那个顾客走的时候笑了。也许即使是在这泥潭里，人也能拉别人一把... 希望好人有好报吧。",80,satisfaction_grateful
bedtime,police_risk,"警车的声音在街角响了一整晚。那个违禁品... 我是不是该尽早处理掉？手心一直在冒汗。",90,police_risk
departure,GRATEFUL,至少这次，我做对了。,,
departure,GRATEFUL,希望这点钱能帮到他。,,
departure,GRATEFUL,这就是所谓的... 问心无愧吗？,,
departure,GRATEFUL,"看着他的背影，我竟感到一丝轻松。",,
departure,NEUTRAL,生意就是生意。,,
departure,NEUTRAL,下一位。,,
departure,NEUTRAL,"钱货两清，各取所需。",,
departure,NEUTRAL,只是这城市里又一笔普通的交易。,,
departure,RESENTFUL,别怪我... 我也要吃饭。,,
departure,RESENTFUL,那种眼神... 我以前见过。,,
departure,RESENTFUL,我不是慈善家。,,
departure,RESENTFUL,他恨我。但我活下来了。,,
departure,DESPERATE,我是不是... 做得太绝了？,,
departure,DESPERATE,"刚才那一瞬间，我看到了自己。",,
departure,DESPERATE,我没办法... 我真的没办法。,,
departure,DESPERATE,"抱歉... 在这个世界，同情心会害死人。",,
departure,CONFLICTED,...这笔交易算好还是坏？我自己也说不清。,,
departure,CONFLICTED,"做了正确的事，还是自欺欺人？",,
departure,CONFLICTED,他的表情...同时有恨，又有感激。,,
departure,CONFLICTED,也许没有所谓的正确答案吧。,,
scene_redeem,RELIEVED,"他回来了。至少这一次，故事有个好结局。",,
scene_redeem,RELIEVED,赎回了... 这就对了。,,
scene_redeem,RELIEVED,"看着他拿回自己的东西，我竟松了口气。",,
scene_redeem,GRATEFUL,"他回来了，而且... 是带着笑的。也许当初少收那点利息，值了。",,
scene_redeem,GRATEFUL,他说了谢谢。真心的那种。,,
scene_redeem,GRATEFUL,也许这行当偶尔也能做点好事。,,
scene_redeem,BITTER,"他拿回了东西，但那表情... 像是在恨我。",,
scene_redeem,BITTER,利息是按规矩收的... 为什么我心里不是滋味。,,
scene_redeem,BITTER,"他走的时候，连头都没回。",,
scene_redeem,BITTERSWEET,"物归原主了。可他的眼神里，说的不只是'谢谢'。",,
scene_redeem,BITTERSWEET,他拿着那东西站了很久... 像是在看一个旧朋友。,,
scene_redeem,BITTERSWEET,故事结束了。但我不确定这算好结局还是坏结局。,,
scene_renewal,WEARY,又续了。他还能续几次？,,
scene_renewal,WEARY,同样的手续，同样的签字... 只是他的背又弯了一点。,,
scene_renewal,WEARY,"续当，续当，续当... 这日子什么时候是个头。",,
scene_renewal,ANXIOUS,他的手在签字时一直在抖...,,
scene_renewal,ANXIOUS,他问了三遍'还有多少天'。我没忍心告诉他实话。,,
scene_renewal,ANXIOUS,时间快到了... 他知道，我也知道。,,
scene_renewal,NUMB,和上次说的一模一样的话。连表情都没变过。,,
scene_renewal,NUMB,"他来了，签了字，走了。像一台机器。",,
scene_renewal,NUMB,第几次了？我已经记不清了。,,
scene_renewal,HOPEFUL,也许这次真的会不一样。,,
scene_renewal,HOPEFUL,他说快了... 我选择相信他。,,
scene_renewal,HOPEFUL,他走的时候步子比上次轻了些。也许真有转机。,,
scene_post_forfeit,GRIEF,那东西还在柜子里。我每次看到它... 都会想起他的脸。,,
scene_post_forfeit,GRIEF,"他走后，店里安静得可怕。",,
scene_post_forfeit,GRIEF,"有些东西，钱买不回来。我比谁都清楚。",,
scene_post_forfeit,RESIGNED,这是生意。这是生意。...这真的只是生意吗？,,
scene_post_forfeit,RESIGNED,"规矩就是规矩。他也说了'认了'。可我...",,
scene_post_forfeit,RESIGNED,又一件绝当品。柜子里又多了一个故事。,,
scene_post_forfeit,HOSTILE,他恨我。也许他有理由恨我。,,
scene_post_forfeit,HOSTILE,他摔门的声音还在耳边回响。,,
scene_post_forfeit,HOSTILE,那眼神... 我今晚大概睡不着了。,,
scene_post_forfeit,PLEADING,他走的时候回头看了三次... 我装作没看见。,,
scene_post_forfeit,PLEADING,'再给我两天'... 我能给他什么？我自己都朝不保夕。,,
scene_post_forfeit,PLEADING,他最后没说话。但那个眼神比任何话都重。,,
